culture,snippet,type,translation,status_signal,notes
Mormon,Where did you serve?,question,He's asking where you served your mission — major identity-formation event for returned missionaries,Mission location tells him language family history and specific community network,Major early identity probe
Mormon,Did you serve a mission?,question,He's asking whether you went on a religious mission as a young adult,Returned-missionary status is foundational identity marker; not serving has stigma,Major identity probe
Mormon,What stake are you in?,question,He's asking which administrative church unit you belong to — like a diocese,Stake signals geographic and community embedding,Standard community-identification probe
Mormon,What ward are you in?,question,He's asking your specific congregation,Ward signals exact neighborhood and community,Common early question
Mormon,Are you a temple recommend holder?,question,He's checking whether you're qualified to enter the temple — signals full active membership,Temple recommend signals full doctrinal commitment and tithing,Major commitment probe
Mormon,When did you get your endowment?,question,He's asking when you received your temple endowment ceremony,Endowment signals adult temple participation; before mission for men typically,Specific temple-life probe
Mormon,Are you sealed?,question,Asked about marriage — temple-sealed marriages are eternal in LDS doctrine,Sealed marriage signals temple-worthy spouse and family,Major marriage-status probe
Mormon,Did you marry in the temple?,question,Same as sealed — checking whether marriage was temple ceremony,Major commitment signal — temple marriage requires recommend,Major marriage-status probe
Mormon,What's your calling?,question,He's asking what unpaid ministry position you currently hold in the church,Callings signal trusted status and time commitment to church,Major community-role probe
Mormon,Where did your parents serve?,question,He's asking about your parents' missions — multigenerational identity,Parents' mission signals lineage of religious commitment,Family-religious-history probe
Mormon,How many siblings do you have?,question,He's asking family size — large families are common and signal traditional values,Family size signals theological commitment and traditional gender economy,Family-structure probe
Mormon,Where did your parents grow up?,question,Specifically Utah Idaho or other — Utah and Idaho signal multigenerational pioneer-lineage Mormon,Utah/Idaho/Arizona signal pioneer lineage; convert families signal different background,Major identity-lineage probe
Mormon,Are you a convert?,question,He's asking whether you joined the church or were born into it,Convert vs lifelong-member is significant identity distinction,Standard background probe
Mormon,Did you go to BYU?,question,He's asking whether you attended Brigham Young University,BYU signals being in the LDS academic and social pipeline,Major institutional probe
Mormon,Are you a returned missionary?,question,Has he completed his mission — major masculine identity marker,RM status is foundational for men; not having served is loaded,Major identity probe
Mormon,I served in Brazil / Mexico / Japan / etc,lifestyle marker,He served a mission in a specific country,Specific mission location signals language family network,Major identity-formation marker
Mormon,Returned missionary / RM,vocabulary,He's completed his 2-year mission as a man (18 months for women),Foundational LDS male identity marker,Major identity category
Mormon,Sister missionary,vocabulary,Female missionary — shorter 18-month service,Female mission identity,Specific category
Mormon,BYU / Brigham Young University,lifestyle marker,He attended the LDS-owned university in Provo Utah,Signals being in the LDS academic and social pipeline often pioneer-lineage,Major institutional identity
Mormon,BYU-Idaho,lifestyle marker,He attended the LDS university in Rexburg Idaho,Signals more conservative LDS family often less elite than Provo,Specific institutional identity
Mormon,BYU-Hawaii,lifestyle marker,He attended the LDS university in Hawaii,Specific smaller campus identity,Specific institutional identity
Mormon,Provo / Utah County,lifestyle marker,He's from or lives in the heart of LDS culture in Utah,Signals heart of LDS culture — concentrated mainstream LDS,Major geographic identity
Mormon,Salt Lake / SLC,lifestyle marker,He's from Salt Lake City — LDS HQ but more diverse than Utah County,Signals LDS centrality but slightly more cosmopolitan than Utah County,Major geographic identity
Mormon,Idaho Falls / Rexburg,lifestyle marker,He's from southeast Idaho LDS communities,Signals conservative LDS multigenerational family,Specific geographic identity
Mormon,Mesa Arizona,lifestyle marker,He's from major LDS community in Arizona,Signals southwestern LDS community,Specific geographic identity
Mormon,Pioneer lineage,phrase,His family descended from original Mormon pioneers who crossed the plains,Major status signal in LDS community,Specific heritage identifier
Mormon,My great-great-grandfather crossed the plains,phrase,Direct pioneer-lineage claim,Major heritage signal,Specific pioneer-descent claim
Mormon,I'm related to [pioneer name / apostle],phrase,Family connection to early church leaders or pioneers,Major heritage status signal,Specific family-prestige claim
Mormon,Eternal marriage,vocabulary,Temple-sealed marriage that extends beyond death in LDS doctrine,Foundational LDS marriage concept,Major theological framing
Mormon,Sealing,vocabulary,The temple ordinance that binds families together for eternity,Specific temple ordinance,Major theological vocabulary
Mormon,Temple marriage,vocabulary,Marriage performed in temple — requires temple recommends from both parties,Highest-status LDS marriage,Standard marriage path
Mormon,Sealed in the temple,phrase,Married in temple ceremony with eternal sealing,Major commitment marker,Standard description
Mormon,Civil marriage then sealed,phrase,Married civilly then temple-sealed later — sometimes because of family circumstances,Specific path often loaded,Specific marriage history
Mormon,She's a convert so we couldn't sealed yet,phrase about a wife,Wife converted to LDS so they had to wait for sealing,Specific path,Common circumstance
Mormon,Forever family,phrase,Family bonds extending eternally — central LDS concept,Major theological framing,Standard LDS concept
Mormon,I want eternal companions,phrase,He wants the eternal marriage doctrine to apply to his relationship,Direct theological framing of dating,Standard LDS dating goal
Mormon,Building an eternal family,phrase,Marriage and parenthood framed as eternal project,Major theological framing,Standard LDS framing
Mormon,The Brethren,vocabulary,The general authorities — top church leaders,Standard insider term for top leadership,Foundational vocabulary
Mormon,The Prophet,vocabulary,The current president of the LDS Church — currently Russell M. Nelson,Standard term for top leader,Foundational vocabulary
Mormon,The First Presidency,vocabulary,The top three leaders of the church,Standard organizational vocabulary,Foundational reference
Mormon,Quorum of the Twelve,vocabulary,The twelve apostles of the LDS Church,Standard organizational vocabulary,Foundational reference
Mormon,General Conference,lifestyle marker,Twice-yearly church-wide broadcast event,Standard LDS calendar event — attendance signals engagement,Major community ritual
Mormon,Watching conference,phrase,Watching General Conference broadcast,Standard LDS family activity,Specific community ritual
Mormon,The talks,vocabulary,Specifically conference addresses by general authorities,Standard reference to authoritative teaching,Specific terminology
Mormon,Priesthood,vocabulary,The male spiritual authority — Aaronic and Melchizedek,Foundational LDS male identity,Major theological vocabulary
